PersonID	x	y	Time	Width	Distance		preName	CurrentName	input	
0	0.6150799	0.05595291	2.332932	2	17	-1	0	AirTap	
0	-0.6965205	-0.7231838	2.700432	2	17	0	1	AirTap	
0	0.3536017	0.6434633	1.367279	2	17	1	2	AirTap	
0	0.07015785	-0.2337755	1.366135	2	17	2	3	AirTap	
0	0.01182407	0.4190028	1.367546	2	17	3	4	AirTap	
0	0.4581397	-0.1752381	1.39946	2	17	4	5	AirTap	
0	0.1748951	0.6715922	1.500206	2	17	5	6	AirTap	
0	0.2536778	-0.4460443	1.271446	2	17	6	7	AirTap	
0	-0.07864051	0.4259084	1.262077	2	17	7	8	AirTap	
0	0.0442978	-0.5757261	1.266159	2	17	8	9	AirTap	
0	0.1272081	0.0292764	1.334099	2	17	9	10	AirTap	
0	0.1378822	1.058867	1.268837	2	17	10	11	AirTap	
0	-0.3134317	0.02007775	1.266518	2	17	11	12	AirTap	
0	0.08765469	0.2781785	1.201141	2	17	12	13	AirTap	
0	-0.6551067	0.6821206	1.896187	2	17	13	14	AirTap	
0	0.5141618	-0.5422038	1.367752	2	17	14	15	AirTap	
0	-0.2864611	-0.04386277	1.266441	2	17	15	16	AirTap	
0	0.7038361	-0.4237696	1.401863	2	17	16	17	AirTap	
0	-0.76395	0.1005689	1.363159	2	17	17	18	AirTap	
0	0.8487262	-0.280521	1.304947	2	17	18	19	AirTap	
0	-0.7649978	-0.145422	1.263977	2	17	19	20	AirTap	
0	0.07007327	0.6341776	1.269028	2	20	20	0	AirTap	
0	-0.7339485	-0.08733669	1.29557	2	20	0	1	AirTap	
0	0.6324723	0.315378	1.302406	2	20	1	2	AirTap	
0	0.08524427	0.1451925	1.231903	2	20	2	3	AirTap	
0	0.3388718	0.644585	1.199394	2	20	3	4	AirTap	
0	0.4923785	-1.082729	1.36895	2	20	4	5	AirTap	
0	-0.1403266	0.7502339	1.298668	2	20	5	6	AirTap	
0	0.1296938	-1.307608	1.432793	2	20	6	7	AirTap	
0	-0.2359455	0.8760576	1.499474	2	20	7	8	AirTap	
0	-0.7466224	-0.7533846	1.43531	2	20	8	9	AirTap	
0	-0.0917147	0.3911885	1.265366	2	20	9	10	AirTap	
0	0.07613468	0.07958239	1.333893	2	20	10	11	AirTap	
0	-0.5816283	0.3622943	1.231995	2	20	11	12	AirTap	
0	-0.2057636	-0.4998891	1.167984	2	20	12	13	AirTap	
0	-0.6272929	-0.5536328	1.199417	2	20	13	14	AirTap	
0	-0.09272076	-0.763267	1.299667	2	20	14	15	AirTap	
0	-0.53242	0.6117494	1.199982	2	20	15	16	AirTap	
0	0.4730049	0.4433691	1.033638	2	20	16	17	AirTap	
0	-0.4529071	-0.8664957	1.166138	2	20	17	18	AirTap	
0	0.8460286	-0.002652507	2.400185	2	20	18	19	AirTap	
0	-0.7350639	-0.55875	1.199829	2	20	19	20	AirTap	
0	0.3763527	0.7343413	1.199982	2	14	20	0	AirTap	
0	-0.7276573	-0.5416893	1.233093	2	14	0	1	AirTap	
0	0.2706879	0.9926843	1.733002	2	14	1	2	AirTap	
0	-0.7036576	-0.4304984	1.137543	2	14	2	3	AirTap	
0	-0.3469961	1.382786	1.663666	2	14	3	4	AirTap	
0	0.1611802	-0.9343368	1.133286	2	14	4	5	AirTap	
0	-0.01528181	0.5954556	1.266724	2	14	5	6	AirTap	
0	0.1564044	-0.3295457	1.367081	2	14	6	7	AirTap	
0	0.1253413	0.5698704	1.099472	2	14	7	8	AirTap	
0	0.3478197	-0.07074055	1.166565	2	14	8	9	AirTap	
0	-0.8922827	0.4254265	1.032974	2	14	9	10	AirTap	
0	0.3437548	-0.1989731	1.13266	2	14	10	11	AirTap	
0	-0.7638466	0.4778089	2.400009	2	14	11	12	AirTap	
0	0.734102	-0.3945101	1.134201	2	14	12	13	AirTap	
0	-0.7580542	0.4559117	1.23288	2	14	13	14	AirTap	
0	0.5256917	-0.04988995	1.166901	2	14	14	15	AirTap	
0	-0.3837701	0.3455657	1.133316	2	14	15	16	AirTap	
0	0.4254302	0.4285034	1.09938	2	14	16	17	AirTap	
0	-1.264543	-0.2470575	1.133835	2	14	17	18	AirTap	
0	-0.277743	0.5542297	1.167297	2	14	18	19	AirTap	
